https://docs.microsoft.com/en-us/dotnet/api/?view=netcore-3.1

Accessibility										Represents a managed wrapper for the Component Object Model (COM) accessibility interface.
Microsoft.CSharp									Contains classes that support compilation and code generation using the C# language.
Microsoft.CSharp.RuntimeBinder						Provides classes and interfaces that support interoperation between Dynamic Language Runtime and C#.
Microsoft.VisualBasic								Contains types that support the Visual Basic Runtime in Visual Basic.
Microsoft.VisualBasic.CompilerServices				Contains internal-use only types that support the Visual Basic compiler.
Microsoft.VisualBasic.FileIO						Contains types that support the My file system object in Visual Basic.
Microsoft.Win32										Provides two types of classes: those that handle events raised by the operating system and those that manipulate the system registry.
Microsoft.Win32.SafeHandles							Contains classes that are abstract derivations of safe handle classes that provide common functionality supporting file and operating system handles.
Microsoft.Windows.Input								Contains interfaces for preview commands in a Microsoft Ribbon for WPF control.
Microsoft.Windows.Themes							Provides exposure to the set of themes defined by Windows Presentation Foundation.
System												Contains fundamental classes and base classes that define commonly-used value and reference data types, events and event handlers, interfaces, attributes, and processing exceptions.
System.Buffers										Contains types used in creating and managing memory buffers, such as those represented by Span<T> and Memory<T>.
System.Buffers.Binary								Provides static methods for reading and writing the binary representations of primitive types from and to spans of bytes, respectively.
System.Buffers.Text									This namespace contains types that can be used to parse and format common data types to and from UTF-8 text representations.
System.CodeDom										Contains classes that can be used to represent the elements and structure of a source code document. The classes in this namespace can be used to model the structure of a source code document that can be output as source code in a supported language using the functionality provided by the System.CodeDom.Compiler namespace.
System.CodeDom.Compiler								Contains types for managing the generation and compilation of source code in supported programming languages. Code generators can each produce source code in a particular programming language based on the structure of Code Document Object Model (CodeDOM) source code models consisting of elements provided by the System.CodeDom namespace.
System.Collections									Contains interfaces and classes that define various collections of objects, such as lists, queues, bit arrays, hash tables and dictionaries.
System.Collections.Concurrent						Provides several thread-safe collection classes that should be used in place of the corresponding types in the System.Collections and System.Collections.Generic namespaces whenever multiple threads are accessing the collection concurrently. However, access to elements of a collection object through extension methods or through explicit interface implementations are not guaranteed to be thread-safe and may need to be synchronized by the caller.
System.Collections.Generic							Contains interfaces and classes that define generic collections, which allow users to create strongly typed collections that provide better type safety and performance than non-generic strongly typed collections.
System.Collections.Immutable						Contains interfaces and classes that define immutable collections.
System.Collections.ObjectModel						Contains classes that can be used as collections in the object model of a reusable library. Use these classes when properties or methods return collections.
System.Collections.Specialized						Contains specialized and strongly-typed collections; for example, a linked list dictionary, a bit vector, and collections that contain only strings.
System.ComponentModel								Provides classes that are used to implement the run-time and design-time behavior of components and controls. This namespace includes the base classes and interfaces for implementing attributes and type converters, binding to data sources, and licensing components.
System.ComponentModel.DataAnnotations				Provides attribute classes that are used to define metadata for ASP.NET MVC and ASP.NET data controls.
System.ComponentModel.DataAnnotations.Schema		Provides support for attribute classes that are used to define metadata for ASP.NET MVC and ASP.NET data controls.
System.ComponentModel.Design						Contains classes that developers can use to build custom design-time behavior for components and user interfaces for configuring components at design time. The design time environment provides systems that enable developers to arrange components and configure their properties.
System.ComponentModel.Design.Serialization			Provides types that support customization and control of serialization at design time.
System.Configuration								Contains the types that provide the programming model for handling configuration data.
System.Configuration.Assemblies						Contains classes that are used to configure an assembly.
System.Configuration.Internal						Contains configuration types that are intended for internal use only.
System.Configuration.Provider						Contains the base classes shared by both server and client applications to support a pluggable model to easily add or remove functionality.
System.Data											Provides access to classes that represent the ADO.NET architecture. ADO.NET lets you build components that efficiently manage data from multiple data sources.
System.Data.Common									Contains classes shared by .NET data providers.
System.Data.Odbc									The System.Data.Odbc namespace is the .NET Framework Data Provider for ODBC.
System.Data.OleDb									The System.Data.OleDb namespace is the.NET Framework Data Provider for OLE DB.
System.Data.OracleClient							The System.Data.OracleClient namespace is the .NET Framework Data Provider for Oracle.
System.Data.SqlClient								The System.Data.SqlClient namespace is the .NET Data Provider for SQL Server.
System.Data.SqlTypes								Provides classes for native data types in SQL Server. These classes provide a safer, faster alternative to the data types provided by the .NET Framework common language runtime (CLR). Using the classes in this namespace helps prevent type conversion errors caused by loss of precision. Because other data types are converted to and from SqlTypes behind the scenes, explicitly creating and using objects within this namespace also yields faster code.
System.Diagnostics									Provides classes that allow you to interact with system processes, event logs, and performance counters.
System.Diagnostics.CodeAnalysis						Contains classes for interaction with code analysis tools. These tools are used to analyze code for conformance to coding conventions such as naming or security rules.
System.Diagnostics.Contracts						Contains static classes for representing program contracts such as preconditions, postconditions, and invariants.
System.Diagnostics.Eventing.Reader					Using the System.Diagnostics.Eventing.Reader namespace, you can develop applications that read and manage event logs. An event in an event log contains information, a warning, or an error that has been published by a specific application, service, or operating system component. These events are read by applications that monitor a computer's health and applications that take action when specific events occur. For more information, see Technology Summary for Reading and Managing Event Logs and Event Log Scenarios.
